date,latitude,longitude,type,description,perpetrator,perpetrator_type,weapon,facilities_destroyed,facilities_damaged,health_workers_killed,health_workers_injured,health_workers_kidnapped,health_workers_arrested,worker_profession,access_obstructed,event_id,year,month,day,date_string
2023-02-27,32.11534039,35.2572101178,Health Care,1 ambulance(s) damaged,Israeli settlers,Civilian,"Stones, Sticks and Gravel",0,0,0,0,0,0,,False,38044,2023,2,27,2023-02-27
2023-03-01,31.8392847114,35.4410363317,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,Paramedic,True,38076,2023,3,1,2023-03-01
2023-03-01,31.8392847114,35.4410363317,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,38074,2023,3,1,2023-03-01
2023-03-05,31.5583746618,34.543864131,Health Care,Health facility incident,Israel Border Police,Police,Firearms,0,0,0,0,0,0,,False,38926,2023,3,5,2023-03-05
2023-03-07,31.4203604,34.3721461689,Health Care,"Doctor, Pharmacist: 2 killed",Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,2,0,0,0,"Doctor, Pharmacist",False,72040,2023,3,7,2023-03-07
2023-03-07,32.4601429368,35.2877427919,Health Care,3 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,38043,2023,3,7,2023-03-07
2023-03-07,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,"AmbulanceDriver, OtherHealthProfessional, Paramedic",True,38040,2023,3,7,2023-03-07
2023-03-07,32.4601429368,35.2877427919,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,38227,2023,3,7,2023-03-07
2023-03-21,31.5583792302,34.5438802242,Health Care,Health facility incident,Israel Border Police,Police,Firearms,0,0,0,0,0,0,,False,38923,2023,3,21,2023-03-21
2023-03-21,31.9014188,35.2061353,Health Care,forceful entry,Israeli Defence Forces,Host Government: Military,"Tasers, Live and Rubber Bullets",0,0,0,0,0,0,,False,38333,2023,3,21,2023-03-21
2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Multiple,Firearms,0,0,0,0,0,0,,True,38339,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Multiple,Firearms,0,0,0,0,0,0,,True,38340,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,OtherHealthProfessional: 4 injured; 2 ambulance(s) destroyed; 2 ambulance(s) damaged,Israeli settlers,Civilian,Firearms,0,0,0,4,0,0,OtherHealthProfessional,False,38334,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Multiple,Firearms,0,0,0,0,0,0,,True,38336,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,OtherHealthProfessional: 4 injured; 1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli settlers,Civilian,Firearms,0,0,0,4,0,0,OtherHealthProfessional,False,38335,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Multiple,Firearms,0,0,0,0,0,0,,True,38338,2023,3,27,2023-03-27
2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Multiple,Firearms,0,0,0,0,0,0,,True,38337,2023,3,27,2023-03-27
2023-03-30,32.3111468,35.0275505,Health Care,1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,38341,2023,3,30,2023-03-30
2023-04-01,31.7758628946,35.2357828617,Health Care,Doctor: 1 killed,Israeli police,Police,Firearms,0,0,1,0,0,0,Doctor,False,38515,2023,4,1,2023-04-01
2023-04-05,31.77630415,35.2355960526,Health Care,Paramedic: 1 injured; access obstructed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,Paramedic,True,38612,2023,4,5,2023-04-05
2023-04-05,31.77630415,35.2355960526,Health Care,2 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,0,0,0,,False,38615,2023,4,5,2023-04-05
2023-04-05,31.77630415,35.2355960526,Health Care,1 facility(ies) destroyed; forceful entry,Israeli Defence Forces,Host Government: Military,Fist and Foot,1,0,0,0,0,0,,False,38608,2023,4,5,2023-04-05
2023-04-07,31.514929097,34.4803443182,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Missile,0,1,0,0,0,0,,False,38522,2023,4,7,2023-04-07
2023-04-15,31.5128679,34.4581358,Health Care,Doctor: 1 killed,Israeli Defence Forces,Host Government: Military,Missile,0,0,1,0,0,0,Doctor,False,72007,2023,4,15,2023-04-15
2023-04-28,32.0198067,35.346234,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,38678,2023,4,28,2023-04-28
2023-05-09,31.519873821,34.4424798861,Health Care,"HeadOfProgramme, Student(Tertiary): 2 killed",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,2,0,0,0,"HeadOfProgramme, Student(Tertiary)",False,39017,2023,5,9,2023-05-09
2023-05-09,31.5579135809,34.5434161698,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Unarmed Perpetrator,0,0,0,0,0,0,,True,39359,2023,5,9,2023-05-09
2023-05-13,31.5398355142,34.5375424316,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Shelling,0,0,0,0,0,0,,False,39019,2023,5,13,2023-05-13
2023-05-13,31.4200022681,34.3597412109,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,39018,2023,5,13,2023-05-13
2023-05-22,32.2053935884,35.2865839068,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,39644,2023,5,22,2023-05-22
2023-06-19,32.4601429368,35.2877427919,Health Care,access obstructed; 1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,Paramedic,True,39645,2023,6,19,2023-06-19
2023-06-20,32.1791437,35.3349466,Health Care,"AmbulanceDriver, Paramedic: 4 injured; access obstructed",Israeli settlers,Civilian,Firearms,0,0,0,4,0,0,"AmbulanceDriver, Paramedic",True,39776,2023,6,20,2023-06-20
2023-06-21,32.1521357,35.2571332,Health Care,1 ambulance(s) damaged,No Information,No Information,"Tasers, Live and Rubber Bullets",0,0,0,0,0,0,,False,39648,2023,6,21,2023-06-21
2023-06-21,32.0358381397,35.28589697,Health Care,access obstructed,Israeli settlers,Civilian,Firearms,0,0,0,0,0,0,Paramedic,True,39777,2023,6,21,2023-06-21
2023-06-24,31.4350791,35.159752,Health Care,AmbulanceDriver: 1 injured; 1 ambulance(s) damaged,Israeli settlers,Civilian,Firearms,0,0,0,1,0,0,AmbulanceDriver,False,39650,2023,6,24,2023-06-24
2023-07-03,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,39781,2023,7,3,2023-07-03
2023-07-03,32.4601429368,35.2877427919,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,39778,2023,7,3,2023-07-03
2023-07-03,32.4620862094,35.2915349538,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,"Tasers, Live and Rubber Bullets",0,0,0,0,0,0,,False,39783,2023,7,3,2023-07-03
2023-07-03,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Artillery,0,0,0,0,0,0,,True,39779,2023,7,3,2023-07-03
2023-07-03,32.4601429368,35.2877427919,Health Care,Paramedic: 3 arrested,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,3,Paramedic,False,40586,2023,7,3,2023-07-03
2023-07-03,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,Paramedic,True,39780,2023,7,3,2023-07-03
2023-07-04,32.4620862094,35.2915349538,Health Care,forceful entry,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,39785,2023,7,4,2023-07-04
2023-07-04,32.468330249,35.2869923852,Health Care,1 facility(ies) damaged; forceful entry,Israeli Defence Forces,Host Government: Military,Firearms,0,1,0,0,0,0,,False,39789,2023,7,4,2023-07-04
2023-07-24,32.3180444,35.059812,Health Care,Other: 3 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,3,Other,True,40328,2023,7,24,2023-07-24
2023-07-24,32.220353143,35.2976134144,Health Care,Paramedic: 1 injured,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,Paramedic,False,40040,2023,7,24,2023-07-24
2023-07-25,32.20015674,35.2731525845,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,40327,2023,7,25,2023-07-25
2023-08-01,31.7043556,35.2061876,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,40587,2023,8,1,2023-08-01
2023-08-06,32.4618837,35.297566,Health Care,forceful entry,Palestinian Authority,Host Government: Military,Firearms,0,0,0,0,0,0,,False,40588,2023,8,6,2023-08-06
2023-08-19,32.2205316,35.2569374,Health Care,NoInformation: 3 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,3,NoInformation,True,41132,2023,8,19,2023-08-19
2023-08-19,32.1463723,35.2732474,Health Care,Doctor: 3 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,3,Doctor,True,41453,2023,8,19,2023-08-19
2023-08-20,32.4618837,35.297566,Health Care,NoInformation: 1 injured,No Information,No Information,Firearms,0,0,0,1,0,0,NoInformation,False,41133,2023,8,20,2023-08-20
2023-08-28,32.4282234622,35.1749610038,Health Care,NoInformation: 1 injured,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,NoInformation,False,41142,2023,8,28,2023-08-28
2023-09-01,32.35068,35.3497657,Health Care,access obstructed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,Paramedic,True,40753,2023,9,1,2023-09-01
2023-09-05,32.3201138408,35.0589929481,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,41522,2023,9,5,2023-09-05
2023-09-05,32.3180444,35.059812,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,41846,2023,9,5,2023-09-05
2023-09-17,31.4497534245,34.3624848266,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,41479,2023,9,17,2023-09-17
2023-09-19,32.4620862094,35.2915349538,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,41455,2023,9,19,2023-09-19
2023-10-07,31.5282137,34.4831674,Health Care,Paramedic: 2 killed; 2 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,2,0,0,0,Paramedic,False,40992,2023,10,7,2023-10-07
2023-10-07,32.2189286671,35.248602028,Health Care,Paramedic: 1 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,1,Paramedic,True,41100,2023,10,7,2023-10-07
2023-10-07,31.5351927833,34.5093655515,Health Care,"1 facility(ies) damaged; HospitalStaff, Nurse: 1 killed, 1 injured",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,1,1,0,0,"HospitalStaff, Nurse",False,40988,2023,10,7,2023-10-07
2023-10-07,31.3478325696,34.2932331562,Health Care,"1 facility(ies) damaged; AmbulanceDriver, Paramedic: 1 killed, 1 injured; 1 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,1,1,0,0,"AmbulanceDriver, Paramedic",False,40974,2023,10,7,2023-10-07
2023-10-07,32.17333264,35.270498918,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,True,40971,2023,10,7,2023-10-07
2023-10-07,32.2205316,35.2569374,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,40970,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,3 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,40959,2023,10,7,2023-10-07
2023-10-07,31.2752047,34.2558269,Health Care,"AmbulanceDriver, Paramedic, Volunteer: 1 killed, 2 injured; 1 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,2,0,0,"AmbulanceDriver, Paramedic, Volunteer",False,40964,2023,10,7,2023-10-07
2023-10-07,31.8125660076,35.245844152,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,42413,2023,10,7,2023-10-07
2023-10-07,31.3436680192,34.3072154252,Health Care,"AmbulanceDriver, NoInformation: 2 killed",Israeli Defence Forces,Host Government: Military,Shelling,0,0,2,0,0,0,"AmbulanceDriver, NoInformation",False,43979,2023,10,7,2023-10-07
2023-10-07,31.5282145018,34.4840240479,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,44123,2023,10,7,2023-10-07
2023-10-07,31.4252940871,34.3764781952,Health Care,"Paramedic: 3 killed, 1 injured; 3 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,3,1,0,0,Paramedic,False,41058,2023,10,7,2023-10-07
2023-10-07,31.5287997847,34.483332758,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,40968,2023,10,7,2023-10-07
2023-10-07,32.0254688,35.2888075,Health Care,NoInformation: 2 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,2,NoInformation,True,41005,2023,10,7,2023-10-07
2023-10-07,32.1792448462,35.2828490688,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88148,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Paramedic: 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Paramedic,False,41017,2023,10,7,2023-10-07
2023-10-07,32.0254688,35.2888075,Health Care,ProgrammeStaff: 3 arrested,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,3,ProgrammeStaff,False,41006,2023,10,7,2023-10-07
2023-10-07,31.2752047,34.2558269,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,69401,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,69334,2023,10,7,2023-10-07
2023-10-07,32.2074997176,35.3007889079,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88151,2023,10,7,2023-10-07
2023-10-07,31.3073177,34.3584366,Health Care,Paramedic: 1 injured,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,Paramedic,False,86321,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Dentist: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Dentist,False,68544,2023,10,7,2023-10-07
2023-10-07,32.2074997176,35.3007889079,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88150,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,72767,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,72768,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,73063,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,73064,2023,10,7,2023-10-07
2023-10-07,31.4432234,34.360007,Health Care,Paramedic: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Paramedic,False,61109,2023,10,7,2023-10-07
2023-10-07,31.7731513,35.259589,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,41018,2023,10,7,2023-10-07
2023-10-07,31.4482157917,34.393408289,Health Care,Pharmacist: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Pharmacist,False,75078,2023,10,7,2023-10-07
2023-10-08,32.17333264,35.270498918,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88644,2023,10,8,2023-10-08
2023-10-08,31.6232013,35.1538688,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88627,2023,10,8,2023-10-08
2023-10-08,32.142272,35.2856583,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,True,88656,2023,10,8,2023-10-08
2023-10-08,31.5134844,34.4528214,Health Care,1 facility(ies) damaged; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,85253,2023,10,8,2023-10-08
2023-10-08,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,73065,2023,10,8,2023-10-08
2023-10-08,31.4432234,34.360007,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,73236,2023,10,8,2023-10-08
2023-10-08,31.539022,34.5384182,Health Care,Paramedic: 2 injured,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,2,0,0,Paramedic,False,87327,2023,10,8,2023-10-08
2023-10-08,32.2205316,35.2569374,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,88643,2023,10,8,2023-10-08
2023-10-08,32.17333264,35.270498918,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,True,88152,2023,10,8,2023-10-08
2023-10-08,31.5282137,34.4831674,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41000,2023,10,8,2023-10-08
2023-10-08,31.4432234,34.360007,Health Care,access obstructed,Government of Israel,Host Government/Self-Declared Host Government,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,41168,2023,10,8,2023-10-08
2023-10-08,31.7629636205,34.9384953773,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,40990,2023,10,8,2023-10-08
2023-10-08,31.9206958028,35.2177925982,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,40994,2023,10,8,2023-10-08
2023-10-08,32.0254688,35.2888075,Health Care,NoInformation: 2 arrested,No Information,No Information,Firearms,0,0,0,0,0,2,NoInformation,False,41065,2023,10,8,2023-10-08
2023-10-08,31.7629636205,34.9384953773,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Nurse,False,72766,2023,10,8,2023-10-08
2023-10-08,31.5057881419,34.4304817915,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,40998,2023,10,8,2023-10-08
2023-10-08,31.3478325696,34.2932331562,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,40997,2023,10,8,2023-10-08
2023-10-08,31.5059024273,34.4307071718,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41004,2023,10,8,2023-10-08
2023-10-08,32.0254688,35.2888075,Health Care,NoInformation: 2 arrested,No Information,No Information,Firearms,0,0,0,0,0,2,NoInformation,False,41064,2023,10,8,2023-10-08
2023-10-09,31.5391925189,34.5374429279,Health Care,1 facility(ies) destroyed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,1,0,0,0,0,0,,False,41003,2023,10,9,2023-10-09
2023-10-09,31.5,34.46667,Health Care,"Paramedic: 4 killed, 4 injured",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,4,4,0,0,Paramedic,False,41009,2023,10,9,2023-10-09
2023-10-09,31.532192,34.4667695,Health Care,Technician: 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Technician,False,41848,2023,10,9,2023-10-09
2023-10-09,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Shelling,0,1,0,0,0,0,,False,40993,2023,10,9,2023-10-09
2023-10-09,32.0254688,35.2888075,Health Care,NoInformation: 2 arrested,No Information,No Information,Firearms,0,0,0,0,0,2,NoInformation,False,41068,2023,10,9,2023-10-09
2023-10-09,32.0254688,35.2888075,Health Care,NoInformation: 2 arrested,No Information,No Information,Firearms,0,0,0,0,0,2,NoInformation,False,41069,2023,10,9,2023-10-09
2023-10-09,31.3445476725,34.3015478332,Health Care,Paramedic: 2 killed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,2,0,0,0,Paramedic,False,40991,2023,10,9,2023-10-09
2023-10-09,32.0254688,35.2888075,Health Care,ProgrammeStaff: 2 arrested,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,2,ProgrammeStaff,False,40983,2023,10,9,2023-10-09
2023-10-09,31.5128679,34.4581358,Health Care,"AmbulanceDriver, OtherHealthProfessional, Paramedic: 6 injured; 1 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,6,0,0,"AmbulanceDriver, OtherHealthProfessional, Paramedic",False,41019,2023,10,9,2023-10-09
2023-10-09,32.0254688,35.2888075,Health Care,ProgrammeStaff: 2 arrested,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,2,ProgrammeStaff,False,40986,2023,10,9,2023-10-09
2023-10-09,31.507987366,34.431554251,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41121,2023,10,9,2023-10-09
2023-10-09,32.17333264,35.270498918,Health Care,ProgrammeStaff: 2 arrested; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,2,ProgrammeStaff,True,88658,2023,10,9,2023-10-09
2023-10-09,32.5100159579,35.3078762243,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,88662,2023,10,9,2023-10-09
2023-10-09,31.5165080723,34.4709755038,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Missile,0,0,1,0,0,0,Nurse,False,73296,2023,10,9,2023-10-09
