WEEK,COUNTRY,FATALITIES
2025-01-11,Israel,0
2025-01-11,Palestine,400
2025-01-18,Israel,3
2025-01-18,Palestine,126
2025-01-25,Israel,0
2025-01-25,Palestine,55
2025-02-01,Palestine,35
2025-02-01,Israel,0
2025-02-08,Palestine,50
2025-02-08,Israel,0
2025-02-15,Israel,0
2025-02-15,Palestine,22
2025-02-22,Israel,2
2025-02-22,Palestine,53
2025-03-01,Israel,2
2025-03-01,Palestine,29
2025-03-08,Israel,3
2025-03-08,Palestine,66
2025-03-15,Palestine,678
2025-03-15,Israel,0
2025-03-22,Israel,2
2025-03-22,Palestine,333
2025-03-29,Israel,0
2025-03-29,Palestine,530
2025-04-05,Israel,0
2025-04-05,Palestine,313
2025-04-12,Palestine,326
2025-04-12,Israel,0
2025-04-19,Israel,0
2025-04-19,Palestine,376
2025-04-26,Israel,0
2025-04-26,Palestine,376
2025-05-03,Israel,0
2025-05-03,Palestine,371
2025-05-10,Israel,0
2025-05-10,Palestine,481
2025-05-17,Palestine,666
2025-05-17,Israel,1
2025-05-24,Israel,0
2025-05-24,Palestine,484
2025-05-31,Israel,0
2025-05-31,Palestine,482
2025-06-07,Israel,2
2025-06-07,Palestine,583
2025-06-14,Palestine,587
2025-06-14,Israel,26
2025-06-21,Palestine,507
2025-06-21,Israel,4
2025-06-28,Israel,0
2025-06-28,Palestine,805
2025-07-05,Israel,0
2025-07-05,Palestine,599
2025-07-12,Israel,0
2025-07-12,Palestine,724
2025-07-19,Palestine,674
2025-07-19,Israel,0
2025-07-26,Palestine,662
2025-07-26,Israel,0
2025-08-02,Israel,0
2025-08-02,Palestine,604
2025-08-09,Israel,0
2025-08-09,Palestine,515
2025-08-16,Israel,0
2025-08-16,Palestine,417
2025-08-23,Israel,0
2025-08-23,Palestine,407
2025-08-30,Israel,0
2025-08-30,Palestine,488
2025-09-06,Israel,0
2025-09-06,Palestine,453
2025-09-13,Israel,0
2025-09-13,Palestine,430
2025-09-20,Israel,0
2025-09-20,Palestine,413
2025-09-27,Palestine,486
2025-09-27,Israel,0
2025-10-04,Israel,0
2025-10-04,Palestine,125
2025-10-11,Israel,1
2025-10-11,Palestine,88
2025-10-18,Israel,0
2025-10-18,Palestine,71
2025-10-25,Palestine,132
2025-10-25,Israel,1
2025-11-01,Palestine,18
2025-11-01,Israel,0
2025-11-08,Israel,0
2025-11-08,Palestine,30
2025-11-15,Israel,0
2025-11-15,Palestine,58
2025-11-22,Israel,0
2025-11-22,Palestine,82
2025-11-29,Israel,0
2025-11-29,Palestine,37
2025-12-06,Israel,0
2025-12-06,Palestine,22
